DATE	FOR	TDSR	MDSR	CDSR
1980:1	15.43	10.62	4.38	6.24
1980:2	15.61	10.71	4.51	6.19
1980:3	15.35	10.46	4.52	5.95
1980:4	15.09	10.25	4.51	5.74
1981:1	15.17	10.31	4.61	5.70
1981:2	15.38	10.46	4.74	5.71
1981:3	15.26	10.36	4.74	5.61
1981:4	15.39	10.42	4.82	5.60
1982:1	15.51	10.50	4.91	5.59
1982:2	15.58	10.56	4.96	5.61
1982:3	15.50	10.46	4.92	5.55
1982:4	15.48	10.42	4.89	5.52
1983:1	15.46	10.39	4.87	5.52
1983:2	15.48	10.42	4.87	5.55
1983:3	15.45	10.42	4.87	5.55
1983:4	15.49	10.47	4.89	5.58
1984:1	15.49	10.52	4.92	5.61
1984:2	15.60	10.65	4.95	5.70
1984:3	15.75	10.76	4.99	5.77
1984:4	15.98	10.92	5.06	5.86
1985:1	16.42	11.25	5.24	6.02
1985:2	16.52	11.34	5.30	6.05
1985:3	16.94	11.63	5.42	6.21
1985:4	17.10	11.75	5.49	6.26
1986:1	17.11	11.77	5.52	6.25
1986:2	17.23	11.84	5.56	6.28
1986:3	17.36	11.94	5.61	6.33
1986:4	17.57	12.08	5.71	6.37
1987:1	17.42	11.95	5.71	6.23
1987:2	17.63	12.09	5.83	6.26
1987:3	17.45	11.96	5.80	6.16
1987:4	17.27	11.83	5.74	6.08
1988:1	17.18	11.77	5.74	6.03
1988:2	17.11	11.76	5.78	5.98
1988:3	17.03	11.71	5.80	5.91
1988:4	16.88	11.59	5.74	5.85
1989:1	16.81	11.58	5.76	5.82
1989:2	17.00	11.75	5.87	5.88
1989:3	17.08	11.81	5.96	5.85
1989:4	17.04	11.77	5.99	5.77
1990:1	16.92	11.66	6.02	5.64
1990:2	16.92	11.63	6.07	5.55
1990:3	16.92	11.60	6.11	5.49
1990:4	16.98	11.62	6.19	5.43
1991:1	16.99	11.60	6.24	5.37
1991:2	16.86	11.46	6.21	5.25
1991:3	16.75	11.35	6.20	5.15
1991:4	16.53	11.15	6.12	5.03
1992:1	16.19	10.87	6.00	4.88
1992:2	15.99	10.69	5.91	4.78
1992:3	15.85	10.55	5.85	4.71
1992:4	15.79	10.48	5.81	4.67
1993:1	15.68	10.43	5.77	4.66
1993:2	15.62	10.37	5.72	4.66
1993:3	15.70	10.43	5.71	4.72
1993:4	15.68	10.39	5.63	4.77
1994:1	15.72	10.41	5.57	4.84
1994:2	15.79	10.47	5.54	4.93
1994:3	15.94	10.60	5.56	5.04
1994:4	16.03	10.72	5.59	5.13
1995:1	16.22	10.90	5.65	5.25
1995:2	16.44	11.10	5.70	5.40
1995:3	16.56	11.21	5.67	5.54
1995:4	16.61	11.25	5.64	5.61
1996:1	16.59	11.26	5.60	5.67
1996:2	16.59	11.29	5.60	5.69
1996:3	16.64	11.34	5.61	5.72
1996:4	16.70	11.39	5.60	5.79
1997:1	16.66	11.35	5.61	5.73
1997:2	16.68	11.35	5.63	5.71
1997:3	16.68	11.36	5.63	5.73
1997:4	16.58	11.31	5.59	5.72
1998:1	16.36	11.17	5.53	5.64
1998:2	16.34	11.19	5.50	5.68
1998:3	16.31	11.17	5.47	5.70
1998:4	16.38	11.23	5.46	5.77
1999:1	16.45	11.30	5.48	5.82
1999:2	16.63	11.45	5.53	5.92
1999:3	16.76	11.58	5.58	6.00
1999:4	16.69	11.57	5.59	5.97
2000:1	16.56	11.52	5.57	5.95
2000:2	16.69	11.68	5.63	6.06
2000:3	16.84	11.86	5.67	6.19
2000:4	17.09	12.09	5.73	6.36
2001:1	17.19	12.19	5.73	6.47
2001:2	17.45	12.41	5.80	6.61
2001:3	17.32	12.34	5.77	6.57
2001:4	17.72	12.63	5.91	6.72
2002:1	17.39	12.40	5.79	6.61
2002:2	17.29	12.34	5.77	6.57
2002:3	17.32	12.39	5.82	6.57
2002:4	17.26	12.37	5.86	6.52
2003:1	17.21	12.37	5.88	6.49
2003:2	17.04	12.27	5.84	6.43
2003:3	16.81	12.13	5.78	6.35
2003:4	16.88	12.19	5.83	6.36
2004:1	16.82	12.16	5.82	6.34
2004:2	16.74	12.10	5.82	6.28
2004:3	16.87	12.22	5.92	6.31
2004:4	16.83	12.23	5.99	6.23
2005:1	17.21	12.52	6.22	6.30
2005:2	17.22	12.53	6.27	6.26
2005:3	17.23	12.56	6.38	6.18
2005:4	17.26	12.58	6.47	6.11
2006:1	17.20	12.57	6.49	6.08
2006:2	17.34	12.66	6.68	5.98
2006:3	17.49	12.76	6.82	5.94
2006:4	17.63	12.84	6.92	5.93
2007:1	17.72	12.90	6.97	5.93
2007:2	17.87	12.99	7.02	5.97
2007:3	18.00	13.09	7.08	6.00
2007:4	18.13	13.22	7.19	6.02
2008:1	17.97	13.09	7.09	5.99
2008:2	17.49	12.71	6.89	5.83
2008:3	17.73	12.82	6.94	5.88
2008:4	17.81	12.79	6.93	5.86
2009:1	17.82	12.69	6.88	5.81
2009:2	17.47	12.35	6.71	5.64
2009:3	17.38	12.20	6.63	5.57
2009:4	17.11	11.95	6.52	5.42
2010:1	16.87	11.72	6.38	5.33
2010:2	16.52	11.41	6.23	5.19
2010:3	16.33	11.21	6.13	5.08
2010:4	16.15	11.04	5.96	5.08
2011:1	15.91	10.81	5.70	5.11
2011:2	15.85	10.71	5.63	5.08
2011:3	15.75	10.59	5.54	5.04
2011:4	15.71	10.49	5.43	5.06
2012:1	15.46	10.27	5.28	4.99
2012:2	15.32	10.16	5.18	4.98
2012:3	15.33	10.16	5.13	5.03
2012:4	14.93	9.87	4.94	4.93
2013:1	15.53	10.24	5.05	5.19
2013:2	15.45	10.17	4.96	5.22
2013:3	15.40	10.13	4.90	5.23
2013:4	15.45	10.15	4.88	5.27
2014:1	15.36	10.07	4.80	5.27
2014:2	15.34	10.05	4.75	5.30
2014:3	15.34	10.04	4.70	5.33
2014:4	15.31	10.01	4.66	5.36
2015:1	15.37	10.05	4.66	5.39
2015:2	15.38	10.06	4.61	5.46
