DATE	GDPDELTA
1980q1	10.0
1980q2	0.5
1980q3	8.9
1980q4	20.0
1981q1	19.8
1981q2	4.6
1981q3	12.4
1981q4	2.8
1982q1	-1.2
1982q2	7.2
1982q3	4.4
1982q4	4.9
1983q1	8.8
1983q2	12.4
1983q3	12.7
1983q4	11.7
1984q1	12.9
1984q2	10.9
1984q3	7.4
1984q4	6.0
1985q1	8.9
1985q2	6.3
1985q3	8.9
1985q4	5.4
1986q1	5.8
1986q2	3.5
1986q3	5.8
1986q4	4.4
1987q1	5.8
1987q2	7.4
1987q3	6.7
1987q4	10.4
1988q1	5.5
1988q2	9.5
1988q3	7.2
1988q4	8.8
1989q1	8.7
1989q2	7.5
1989q3	6.0
1989q4	3.7
1990q1	9.1
1990q2	5.8
1990q3	3.7
1990q4	-0.4
1991q1	2.1
1991q2	6.0
1991q3	5.0
1991q4	4.0
1992q1	6.6
1992q2	7.2
1992q3	5.9
1992q4	6.9
1993q1	3.1
1993q2	4.9
1993q3	4.4
1993q4	7.7
1994q1	6.0
1994q2	7.7
1994q3	4.6
1994q4	6.9
1995q1	3.7
1995q2	3.2
1995q3	5.5
1995q4	4.9
1996q1	4.9
1996q2	8.8
1996q3	4.9
1996q4	6.4
1997q1	5.7
1997q2	7.3
1997q3	6.7
1997q4	4.5
1998q1	4.7
1998q2	4.8
1998q3	6.9
1998q4	8.1
1999q1	5.3
1999q2	4.7
1999q3	6.7
1999q4	9.1
2000q1	4.3
2000q2	10.2
2000q3	3.1
2000q4	4.5
2001q1	1.4
2001q2	5.1
2001q3	0.0
2001q4	2.3
2002q1	5.1
2002q2	3.8
2002q3	3.8
2002q4	2.4
2003q1	4.6
2003q2	5.1
2003q3	9.3
2003q4	6.8
2004q1	5.9
2004q2	6.6
2004q3	6.3
2004q4	6.4
2005q1	8.3
2005q2	5.1
2005q3	7.3
2005q4	5.4
2006q1	8.2
2006q2	4.5
2006q3	3.2
2006q4	4.6
2007q1	4.8
2007q2	5.4
2007q3	4.2
2007q4	3.2
2008q1	-0.5
2008q2	4.0
2008q3	0.8
2008q4	-7.7
2009q1	-4.5
2009q2	-1.2
2009q3	1.2
2009q4	5.2
2010q1	3.2
2010q2	5.8
2010q3	4.6
2010q4	4.7
2011q1	0.2
2011q2	6.0
2011q3	3.3
2011q4	5.2
2012q1	4.9
2012q2	3.8
2012q3	2.7
2012q4	1.7
2013q1	3.6
2013q2	2.1
2013q3	4.9
2013q4	5.6
2014q1	0.6
2014q2	6.9
2014q3	6.0
2014q4	2.2
2015q1	0.8
2015q2	6.1
